"Name","Link"
"Chaku And Sons","https://www.tripadvisor.com/Attraction_Review-g297623-d12702768-Reviews-Chaku_And_Sons-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Floating Post Office Dal Lake","https://www.tripadvisor.com/Attraction_Review-g297623-d25011833-Reviews-Floating_Post_Office_Dal_Lake-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashm.html"
"Dalgate","https://www.tripadvisor.com/Attraction_Review-g297623-d25020261-Reviews-Dalgate-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Naqshband Shrine","https://www.tripadvisor.com/Attraction_Review-g297623-d3704904-Reviews-Naqshband_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Imambara Hassanabad","https://www.tripadvisor.com/Attraction_Review-g297623-d3207866-Reviews-Imambara_Hassanabad-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Kashmir Government Arts Emporium","https://www.tripadvisor.com/Attraction_Review-g297623-d24113505-Reviews-Kashmir_Government_Arts_Emporium-Srinagar_Srinagar_District_Kashmir_Jammu_and_Ka.html"
"Imam Bada Barjee","https://www.tripadvisor.com/Attraction_Review-g297623-d5063997-Reviews-Imam_Bada_Barjee-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Akee Crafts","https://www.tripadvisor.com/Attraction_Review-g297623-d14072414-Reviews-Akee_Crafts-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Zaina Kadal Bridge","https://www.tripadvisor.com/Attraction_Review-g297623-d25010418-Reviews-Zaina_Kadal_Bridge-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Din Brothers Jewellers","https://www.tripadvisor.com/Attraction_Review-g297623-d24175126-Reviews-Din_Brothers_Jewellers-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"FRUIT AND VEGETABLE MARKET SHOPIAN","https://www.tripadvisor.com/Attraction_Review-g297623-d23619816-Reviews-FRUIT_AND_VEGETABLE_MARKET_SHOPIAN-Srinagar_Srinagar_District_Kashmir_Jammu_and_.html"
"Ancient buddhist settlement","https://www.tripadvisor.com/Attraction_Review-g297623-d15886331-Reviews-Ancient_buddhist_settlement-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"River Songs Tours and Travels","https://www.tripadvisor.com/Attraction_Review-g297623-d5000145-Reviews-River_Songs_Tours_and_Travels-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmi.html"
"Neulife Store Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d23459033-Reviews-Neulife_Store_Srinagar-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Anchar Lake","https://www.tripadvisor.com/Attraction_Review-g297623-d5788404-Reviews-Anchar_Lake-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Hazara Arts","https://www.tripadvisor.com/Attraction_Review-g297623-d8837246-Reviews-Hazara_Arts-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Shree Kheer Bhawani Durga Temple","https://www.tripadvisor.com/Attraction_Review-g297623-d21088956-Reviews-Shree_Kheer_Bhawani_Durga_Temple-Srinagar_Srinagar_District_Kashmir_Jammu_and_Ka.html"
"Saklain's Coterie","https://www.tripadvisor.com/Attraction_Review-g297623-d13003207-Reviews-Saklain_s_Coterie-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Elite Concept","https://www.tripadvisor.com/Attraction_Review-g297623-d23877926-Reviews-Elite_Concept-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
